3327:0.0167386 3216:0.0130677 2133:0.0127561 1964:0.0108638 2008:0.00991303 
3327:0.0226987 2226:0.00422975 1958:0.00376104 2286:0.00286548 3049:0.00262745 
3327:0.020444 2326:0.018446 2203:0.00859983 2685:0.00635862 284:0.0050557 
3327:0.0815598 3110:0.0735439 58:0.0636877 804:0.0604698 2069:0.00254701 
3327:0.0328137 1627:0.00831532 832:0.00824535 2577:0.00553211 2942:0.00482476 
1976:0.0218481 2496:0.0197087 3327:0.0186588 1205:0.0182216 2493:0.0162446 
3327:0.0120719 2417:0.0080778 2447:0.00519386 284:0.00399539 3373:0.00250324 
3327:0.027165 2417:0.0183132 2496:0.0160945 284:0.00979368 2507:0.00839771 
1964:0.0583377 1467:0.0491916 1461:0.0438405 3327:0.0366377 2685:0.0159265 
2379:0.085994 284:0.085453 2456:0.0493548 559:0.0324414 1398:0.0229652 
1268:0.0462724 1356:0.0414903 2462:0.0261963 1594:0.023922 3327:0.0162321 
3327:0.03508 1905:0.0168801 1958:0.0110004 2203:0.00717797 1496:0.00397133 
1197:0.0888257 2180:0.0758365 1594:0.0743182 2227:0.00857367 2228:0.0081075 
2984:0.0415673 3327:0.0222813 3286:0.012447 2142:0.0108481 3040:0.00911866 
3327:0.0136778 2260:0.0125259 2261:0.00830616 2592:0.00786338 2749:0.00692019 
3327:0.0306388 2417:0.0154221 2203:0.0126551 3168:0.0079074 597:0.00775976 
3327:0.0291395 2447:0.0188821 2949:0.00808927 929:0.00589605 2696:0.00467771 
3327:0.0441433 1496:0.00678485 3168:0.00612846 2417:0.00391103 1808:0.00389892 
3327:0.0215587 521:0.00482144 3297:0.00332893 520:0.00326015 2818:0.00235491 
1330:0.0306566 3327:0.0218435 2187:0.0187624 2186:0.0144829 1335:0.0129508 
3327:0.0181361 444:0.0130685 2248:0.00966455 1262:0.00933935 234:0.00738897 
3327:0.0280117 1375:0.0167717 3373:0.0164076 3194:0.010551 2804:0.00860543 
2552:0.0809654 2071:0.0570151 2970:0.0530002 2073:0.047378 2075:0.0413297 
1627:0.029421 3327:0.0135698 2788:0.0107356 2417:0.00773112 3110:0.00663346 
3327:0.0318433 3196:0.0190564 2361:0.00921964 1154:0.00235763 2203:0.00218577 
3327:0.0231848 2133:0.0189704 2818:0.00967712 3297:0.0061274 1130:0.00489561 
2746:0.00527598 3327:0.00441476 2227:0.00328328 2421:0.00258764 3373:0.00254753 
3327:0.0277609 3286:0.0210658 650:0.0124504 1627:0.00748331 2948:0.00466265 
1922:0.0429495 3327:0.042282 1152:0.0303986 1627:0.016062 290:0.0120468 
3327:0.0271828 2696:0.0078818 2203:0.00770364 3157:0.00476156 2417:0.00423359 
1330:0.0158371 3327:0.0147499 2187:0.0129645 1335:0.0101524 657:0.00715424 
3327:0.0213815 2710:0.00479565 3373:0.00203046 1243:0.00199823 2203:0.00184149 
190:0.0242685 2573:0.0144898 191:0.0125179 3327:0.0118709 1011:0.00979686 
3327:0.0250864 3297:0.0138709 3065:0.00398896 537:0.00374924 1787:0.00365275 
3327:0.0178571 2203:0.00781169 2047:0.00269618 288:0.00151013 2718:0.00148529 
3327:0.0217878 2180:0.00179288 2901:0.00141349 2654:0.0012186 953:0.00106086 
3327:0.200355 2203:0.144374 707:0.0178582 2298:0.0142272 1967:0.0127057 
3327:0.0113995 2472:0.0109018 1461:0.00744037 2818:0.00712376 2685:0.0065608 
3327:0.0205596 1496:0.00357673 2818:0.00234696 1039:0.0011857 953:0.00106086 
2417:0.0179253 3327:0.0135883 2203:0.00859179 284:0.00770923 1335:0.00699405 
2098:0.0691879 2712:0.0649059 3157:0.0567667 3327:0.0140609 1594:0.0128 
3327:0.0595475 1268:0.0422099 1356:0.0233644 618:0.0230695 1461:0.00667753 
3327:0.0215095 90:0.00621525 2685:0.00369533 236:0.00160193 2203:0.00131662 
3327:0.0227877 1584:0.00914253 3065:0.00727592 2203:0.00319795 3049:0.00248735 
3327:0.0335661 1905:0.0162422 1911:0.00761471 1958:0.0060772 2911:0.00573863 
2203:0.0575097 3327:0.0222878 376:0.013669 1958:0.0122958 2740:0.0113386 
3327:0.0227499 2797:0.00542755 2417:0.00533182 3373:0.00463828 1335:0.0043425 
3327:0.0231714 1627:0.00724402 358:0.00453739 2142:0.00395229 211:0.00356363 
3327:0.0300481 2970:0.0111307 934:0.00644567 1419:0.00578348 2685:0.0049278 
3327:0.0261295 2507:0.0200123 2447:0.0135751 1535:0.00670952 1417:0.00307069 
3327:0.0219193 1183:0.014074 1818:0.0133715 2281:0.00751744 3168:0.00728867 
2133:0.0584795 3327:0.0250355 3350:0.0233318 2818:0.019217 33:0.00987887 
2133:0.0209172 3327:0.0134796 483:0.0105182 2582:0.0100537 3297:0.0074239 
1594:0.0340848 3327:0.0213057 2095:0.0204297 2609:0.0155264 987:0.00809559 
3327:0.0235783 1411:0.0140363 1011:0.00705452 814:0.0055133 2573:0.00354398 
1542:0.0404753 1958:0.0364137 1905:0.0336214 3327:0.0269136 1205:0.0182707 
3327:0.0254636 2573:0.00490558 2911:0.00276012 3216:0.00162543 3297:0.00122051 
1781:0.0484479 284:0.0350893 2515:0.0346302 3090:0.028536 1877:0.0259988 
2447:0.025867 2073:0.0199575 2788:0.0110445 1627:0.00907601 323:0.006698 
3327:0.0407332 1205:0.020167 234:0.0145916 1542:0.0134151 1957:0.0130858 
2954:0.0434878 2996:0.0319107 2765:0.0318328 3321:0.028732 3327:0.0259203 
1376:0.0569564 3327:0.0434863 2649:0.0090435 1810:0.00851541 825:0.00828629 
3327:0.0242163 2552:0.00922232 2071:0.00915819 2075:0.00637351 2573:0.00378024 
2462:0.0574535 3327:0.0408512 2788:0.0350535 2622:0.0249981 2447:0.0152655 
3327:0.0215781 3096:0.0106369 1905:0.0100204 1746:0.0074818 2573:0.006541 
2696:0.0298065 2447:0.0214051 3094:0.0152718 3327:0.0113796 650:0.0108939 
2033:0.022175 3327:0.0187077 537:0.0161896 2047:0.0117021 503:0.00822443 
3327:0.0179871 268:0.0157144 284:0.0113216 288:0.00840306 300:0.00658073 
2788:0.0697237 3327:0.019725 2417:0.0059007 2633:0.0039302 1262:0.00385742 
2573:0.0229008 3327:0.0186637 3083:0.0152854 451:0.0124329 704:0.00556963 
2203:0.0400595 3327:0.0288783 1062:0.00923943 1547:0.00801473 1498:0.00577524 
3327:0.0214302 746:0.00569912 3316:0.00246773 732:0.00245011 2203:0.0023374 
3327:0.0156858 2203:0.00244662 1964:0.00214659 3187:0.00191449 3297:0.00181079 
1594:0.0922801 2098:0.0354935 1044:0.028804 3327:0.0287918 2095:0.0142168 
1594:0.040055 3327:0.0205967 1731:0.0135393 3387:0.0125356 2100:0.00777523 
1594:0.0325105 3327:0.0280949 1044:0.00947675 2203:0.00887105 199:0.00689979 
3327:0.027741 1627:0.0115259 2417:0.00886119 3286:0.00782212 2203:0.00406525 
1376:0.0542312 1594:0.0525195 3327:0.0400109 3321:0.0279052 1025:0.0252126 
3041:0.0296915 3327:0.0196458 2573:0.0132839 2818:0.0103151 1192:0.00530702 
1391:0.0382976 3327:0.0175882 2910:0.0147657 2609:0.0145424 2898:0.0142715 
3327:0.0251436 2818:0.0179573 2960:0.00417791 746:0.00401806 2260:0.00336767 
3327:0.019969 2447:0.00950722 3096:0.00607001 2203:0.00478076 2507:0.00390157 
3327:0.0184838 3083:0.0146822 2573:0.00937356 2133:0.00820845 929:0.00807933 
3327:0.0130947 1798:0.00437198 2047:0.0041174 3049:0.00261241 711:0.00204529 
3327:0.0162333 729:0.00206861 727:0.00189293 41:0.00149011 953:0.00106086 
3327:0.00704978 1798:0.00675561 1137:0.0065309 1141:0.0063121 1925:0.00609284 
1627:0.0387248 3327:0.0300868 2417:0.0167867 1262:0.0106948 1152:0.00994363 
3327:0.0272518 2158:0.0100669 2456:0.0100206 934:0.00815153 2818:0.00576903 
284:0.0251808 3327:0.0206254 2417:0.00509773 301:0.0047815 2379:0.00382296 
3327:0.0266845 3083:0.0196898 1908:0.0104548 1284:0.0103191 190:0.0100595 
3327:0.0182964 2818:0.0012451 953:0.00106086 2573:0.000768179 1059:0.000709412 
1215:0.0193021 1554:0.0137552 3327:0.0130261 3023:0.0111534 2788:0.00402839 
3327:0.0177668 2573:0.00932604 2033:0.00489095 2047:0.00471578 1827:0.00373323 
3327:0.0207954 787:0.0205033 2573:0.0163772 2388:0.0111296 3363:0.00480559 
3327:0.016408 1152:0.0113694 1356:0.00748094 1268:0.00504584 2685:0.0041212 
3327:0.0215745 2417:0.00597113 650:0.00369687 2746:0.00338638 2697:0.00322365 
3327:0.0216234 2696:0.021483 3321:0.0137621 1124:0.0137221 650:0.0106653 
3327:0.0331928 3031:0.0272646 1594:0.0242127 3387:0.023251 2447:0.0128915 
2891:0.157887 3327:0.15519 1376:0.0135991 1496:0.00559443 1642:0.00507267 
1496:0.0256696 3168:0.023076 3327:0.0209274 2033:0.00995479 1885:0.00545415 
1994:0.0539082 2040:0.049742 455:0.0493032 1449:0.0453056 3327:0.0077391 
3327:0.0348658 650:0.0224193 649:0.0192186 2696:0.0177555 2762:0.0147372 
3327:0.0123465 1731:0.0102695 1391:0.00797306 2685:0.0074097 442:0.00722093 
3327:0.0212895 2447:0.00559855 1627:0.00385891 2417:0.00337483 3373:0.00287544 
2203:0.044935 3327:0.0199013 284:0.00631126 2417:0.00544491 679:0.00519516 
3327:0.0273686 650:0.0140607 1152:0.00852516 2447:0.00696318 3361:0.00692146 
3327:0.034663 3096:0.0178673 2685:0.0106501 2075:0.0087906 2203:0.00660195 
3187:0.0427362 3327:0.0309667 2417:0.0123346 2203:0.0110202 3072:0.00795414 
3327:0.0212517 3253:0.0105992 1461:0.00320396 2573:0.00216797 3373:0.00189674 
3187:0.0401334 3327:0.0338753 2203:0.0153977 3072:0.00923589 2417:0.00758872 
3327:0.0372071 1905:0.0192179 2849:0.0168633 2203:0.0154443 2850:0.00964777 
650:0.0305673 3327:0.0257621 2696:0.0244906 2447:0.0152516 419:0.0111537 
3327:0.0138864 505:0.00903111 2417:0.0087627 2788:0.00610445 2609:0.00424538 
3083:0.0385938 2133:0.0356018 3327:0.0216516 2573:0.00846098 1391:0.0068404 
3327:0.0153199 934:0.011613 2781:0.0083429 2573:0.00596185 2033:0.0051627 
3327:0.0245159 2933:0.016827 1627:0.0121435 2462:0.0101041 2417:0.00975862 
2552:0.032454 2071:0.0307966 2970:0.0296867 2073:0.0294619 2075:0.022074 
3083:0.064549 3327:0.0226038 290:0.00633089 2685:0.00549944 2227:0.00448092 
825:0.0259148 1376:0.0193335 2671:0.0143748 3327:0.0132215 2672:0.00826119 
3327:0.0287551 1905:0.0195042 1958:0.0159288 1205:0.0131795 2203:0.0118972 
642:0.0410724 2203:0.031022 3327:0.0160468 643:0.0146445 433:0.0140139 
3327:0.0272306 2609:0.0264517 1078:0.0149656 1077:0.0137867 440:0.00815137 
3327:0.0264302 1262:0.020078 1467:0.016568 1461:0.0155708 2710:0.00947766 
3327:0.0265194 1215:0.0120177 2248:0.00940726 1496:0.00863676 2203:0.00732745 
3083:0.0227141 3327:0.015091 3216:0.00927982 1324:0.00408621 769:0.00402807 
3327:0.0263877 2260:0.0168817 2261:0.0152103 30:0.0107504 1215:0.0105281 
2447:0.00931205 2417:0.00677411 1958:0.00264192 745:0.002502 2942:0.00185517 
3327:0.0168655 284:0.00725646 2417:0.00592538 3373:0.00233683 1627:0.00216232 
3327:0.0166728 1461:0.00639529 2226:0.00584216 2310:0.00548247 1627:0.00314101 
2483:0.0220113 2482:0.00760174 2456:0.00455678 736:0.00443885 746:0.00426474 
253:0.0192388 3327:0.0150638 2818:0.00583586 2008:0.00460852 769:0.00206746 
3327:0.0203104 2456:0.0170263 3083:0.0142966 727:0.0124629 729:0.0105331 
934:0.0347217 3327:0.0184027 950:0.0111834 2911:0.0101558 935:0.00869111 
3327:0.021421 2462:0.00523292 2788:0.00400515 1781:0.0015134 2459:0.00127688 
3327:0.0279979 2203:0.0109665 3187:0.00696498 1634:0.00211473 826:0.00110969 
3327:0.0203459 916:0.0149709 427:0.00724935 429:0.00572806 3348:0.00519262 
3327:0.0303371 707:0.0177497 1496:0.0137025 1152:0.0133555 2298:0.0132401 
3327:0.0379725 3083:0.0207878 2685:0.00861151 2960:0.00633664 3065:0.00511851 
3327:0.0223814 3361:0.00134893 953:0.00106086 41:0.000964152 2584:0.000937597 
284:0.0980253 3327:0.0261132 268:0.0109985 90:0.0108876 1627:0.0095039 
3327:0.024482 2417:0.00333092 1335:0.0031116 1852:0.00253823 2818:0.00206144 
3327:0.0273898 2417:0.00569807 268:0.00447103 2203:0.00215516 3128:0.00158288 
3327:0.0183087 2788:0.00508744 1461:0.0040471 2797:0.00282663 2933:0.0025651 
1215:0.0542349 2609:0.0389164 1554:0.0259813 505:0.0123573 3327:0.0118999 
3327:0.0187606 2609:0.0117376 1697:0.00348776 2788:0.00248623 2106:0.00244984 
2818:0.0425615 3327:0.0362273 2552:0.0204276 2970:0.010902 2075:0.00842797 
3327:0.0282463 1496:0.0152584 338:0.00784449 3168:0.00702607 2685:0.00536454 
3327:0.0164405 284:0.0144643 1335:0.00479771 2456:0.00457489 41:0.00325312 
3327:0.0219529 2696:0.0145206 650:0.0111143 2227:0.0101953 2175:0.00701632 
3327:0.0258961 1594:0.0199178 1106:0.00913493 2609:0.00776766 2095:0.00683315 
2203:0.0503843 3327:0.0226005 1742:0.0152018 2315:0.0142008 1287:0.0120646 
3327:0.0170788 483:0.0132592 832:0.00449251 2047:0.00321337 1912:0.00249204 
3327:0.0150304 1798:0.00436488 537:0.00197183 953:0.00106086 1212:0.000778986 
3327:0.0250518 2942:0.0120192 1958:0.0115461 1905:0.00547222 2203:0.003493 
2507:0.0155106 3327:0.0136429 2911:0.0131462 2818:0.00283703 2372:0.00190044 
3327:0.0258642 1905:0.0167044 2573:0.0137399 290:0.00551651 1966:0.0048334 
3327:0.048182 1461:0.014108 1467:0.00671537 2047:0.00321615 358:0.00269807 
3327:0.0210983 3342:0.0079426 1787:0.00787106 323:0.00525135 3322:0.00480301 
2788:0.0856964 2447:0.0241665 3327:0.0185913 2417:0.0165249 650:0.0120435 
3327:0.0340251 2609:0.0162653 2428:0.0120122 234:0.0105948 1078:0.00960462 
3327:0.0212903 1496:0.0182768 224:0.00301784 1497:0.00259307 1159:0.001113 
3327:0.0241525 1654:0.00795962 1905:0.00743349 3187:0.00525347 3097:0.00495233 
3327:0.0134318 2203:0.0118055 2573:0.00243699 3065:0.0020902 2818:0.00189999 
3327:0.0197882 220:0.0116888 3187:0.00820751 2447:0.00662792 1318:0.00574101 
2326:0.0210143 3327:0.0154289 1154:0.0131221 2972:0.00811603 3269:0.00639556 
3327:0.0259651 2496:0.0234978 2493:0.0142514 1976:0.0121768 1205:0.00864833 
3327:0.0399945 2462:0.0296112 2203:0.0183554 2788:0.0123207 2622:0.0121806 
3327:0.0154307 1330:0.0150671 1335:0.0123601 2187:0.0114017 2417:0.0093498 
3327:0.0121045 2417:0.0102564 2507:0.0100797 2654:0.00307086 2315:0.00290856 
3327:0.0354435 2573:0.00955745 3216:0.0089556 3373:0.00346541 2355:0.00257633 
3327:0.0207089 36:0.0105528 2203:0.00173645 597:0.00172475 898:0.00164139 
3327:0.0233295 1905:0.0146861 483:0.0131069 1958:0.00870091 1634:0.00743462 
3327:0.0168692 2788:0.00781385 2710:0.00614514 2483:0.00506038 1594:0.00481805 
3327:0.0332917 2203:0.017601 3083:0.0136739 737:0.00903142 736:0.00723895 
268:0.0112617 3327:0.011188 2917:0.0107005 2462:0.0080993 3098:0.00493468 
3327:0.0276441 2609:0.022054 2835:0.0165162 2203:0.00777938 2279:0.00669453 
236:0.081563 3117:0.0637655 2036:0.061228 2816:0.0610518 3291:0.0610518 
3327:0.0207758 1192:0.0176119 2573:0.0152686 3083:0.0117768 3297:0.0074161 
3327:0.0379266 642:0.026019 2891:0.0109485 2203:0.00583804 1106:0.00546142 
2573:0.0245773 3083:0.0195131 3327:0.0162656 3216:0.0103754 2911:0.00444637 
1627:0.0877099 1858:0.0696799 896:0.069077 3225:0.0685553 3327:0.051585 
3327:0.0234997 2970:0.00363593 2203:0.00259696 2552:0.00145873 953:0.00106086 
1461:0.00907761 3096:0.0024137 356:0.00232159 2047:0.00227973 1467:0.00172635 
253:0.0466799 3065:0.0220804 1532:0.0149181 2417:0.0137957 290:0.0106467 
3327:0.0262716 2696:0.0179673 1818:0.00827422 2203:0.00747526 2949:0.00625007 
2006:0.0550398 642:0.0327942 1594:0.030692 3327:0.0204208 2054:0.00607105 
1376:0.0382512 1594:0.0344132 2303:0.0334389 3327:0.0164055 3011:0.0074302 
3327:0.0311057 1931:0.0115049 560:0.00994551 2456:0.00858331 1129:0.00795402 
2203:0.0271347 3187:0.0221976 3327:0.0202462 597:0.0182136 2417:0.00533428 
3327:0.0254213 849:0.0132986 2573:0.00418596 2047:0.0019215 2818:0.00187112 
3327:0.0190963 1461:0.0155566 1467:0.0146676 2447:0.0118765 769:0.00770209 
3327:0.030282 3168:0.0189792 3132:0.00656638 1169:0.00631704 1969:0.00627139 
3327:0.0168821 1461:0.00746895 1192:0.00301034 2984:0.00279464 1467:0.00159128 
3327:0.0279003 2447:0.0230979 2073:0.0204797 2788:0.0186644 2071:0.0136979 
1461:0.0180373 1467:0.0154533 3327:0.00585987 3187:0.00410392 290:0.0036632 
3083:0.0731986 3327:0.0303346 1943:0.00528965 284:0.0027389 3373:0.00130107 
3327:0.0245434 929:0.00496948 2281:0.00356889 3297:0.00274121 1034:0.00237538 
3327:0.0172001 3168:0.0132559 2203:0.00950144 1496:0.00800067 1152:0.00755379 
2133:0.0310212 3327:0.0227839 2843:0.00637982 1798:0.00561171 2818:0.00432584 
2573:0.0189581 3327:0.0135687 1964:0.0123902 3216:0.011247 2818:0.00375265 
2337:0.0355765 2911:0.0303614 3327:0.0248643 3216:0.0141695 1964:0.0134697 
3327:0.0180241 2788:0.0147204 2573:0.0129274 2071:0.01278 2073:0.00531664 
2462:0.0193003 3327:0.00759551 2685:0.00590134 2326:0.00532329 2788:0.00440069 
1078:0.0124881 1077:0.0113971 234:0.011342 1335:0.00741194 284:0.00730889 
1812:0.0430458 1905:0.0310146 3327:0.029556 1958:0.0227252 3321:0.0212261 
3327:0.0311976 2294:0.0144898 2818:0.0138264 365:0.0120182 3128:0.0120089 
3327:0.0187176 33:0.0103646 1197:0.00635378 3350:0.00630671 642:0.00627644 
3327:0.0145585 1627:0.0115124 3065:0.0047831 2384:0.00467956 2281:0.00340292 
3327:0.0328539 1376:0.0226012 3171:0.0114058 2788:0.00818888 3321:0.00734134 
3327:0.0526466 3350:0.0239538 3187:0.0236882 1627:0.0107571 2203:0.00973349 
3327:0.0364543 1905:0.0186058 2573:0.0130766 2203:0.0102156 2675:0.00871105 
2609:0.0524353 3327:0.0135612 2447:0.0122322 505:0.0114559 1963:0.00545821 
3327:0.0226339 1335:0.00303187 3049:0.00181076 1461:0.00166816 953:0.00106086 
3327:0.0194893 1999:0.00159837 2710:0.001463 632:0.0013299 1496:0.00119179 
3327:0.0245335 1773:0.0125771 2047:0.00573839 537:0.00517355 2033:0.00454041 
3327:0.0180031 2818:0.0100193 1873:0.004354 1584:0.0028871 2047:0.00190814 
2071:0.0463109 3327:0.0236248 1250:0.0155107 2073:0.0144364 2075:0.0125099 
3327:0.0198559 3221:0.00737467 1335:0.00431638 2227:0.00428278 2228:0.00417632 
3327:0.0440572 2507:0.00936719 2447:0.00832589 1732:0.00821545 2417:0.00803258 
3327:0.0130448 2462:0.0047354 3065:0.00430684 2047:0.00109619 953:0.00106086 
3327:0.0306756 2788:0.0227055 2933:0.0186657 58:0.0112493 323:0.0100432 
3094:0.0558075 650:0.0535579 649:0.041271 2696:0.0363228 3327:0.0353103 
3327:0.0223111 2447:0.0119379 526:0.0113455 1627:0.0101214 483:0.00970641 
3327:0.0246695 1912:0.00264411 2203:0.00199962 1496:0.00149848 2807:0.00120681 
3327:0.0592293 2507:0.0222391 1535:0.0102048 2190:0.00687552 977:0.00431247 
3041:0.0227378 3327:0.0216103 2158:0.0119173 3321:0.0116709 3297:0.00619948 
1627:0.0236022 3327:0.0214358 1205:0.0123297 2417:0.00839185 1958:0.00770158 
3327:0.0176433 2833:0.00803661 3132:0.00712685 1169:0.00678798 1969:0.00669121 
3327:0.0318704 2447:0.016847 1922:0.00813962 1627:0.00718694 2203:0.00628311 
3327:0.0273853 253:0.0163365 2008:0.00899522 1584:0.00553852 58:0.00335862 
3327:0.0280508 158:0.0244844 2047:0.023635 537:0.00754604 290:0.00699264 
3327:0.0210316 1496:0.0113287 1197:0.00979937 3168:0.00887747 580:0.00499573 
3327:0.0246889 2609:0.0154757 1106:0.0112509 505:0.0101671 1594:0.00668728 
3327:0.0233609 2788:0.0173046 2462:0.0127329 2712:0.00717335 2071:0.0047326 
3327:0.024882 2685:0.0165662 2800:0.0123151 1496:0.00748946 1627:0.00704255 
3083:0.0400428 859:0.0194308 2355:0.0187774 3373:0.0124411 3327:0.0111876 
1356:0.0549391 1268:0.034019 1594:0.0245813 1949:0.0233627 3327:0.0176102 
2740:0.03195 2203:0.0156592 3327:0.0108129 1733:0.00346907 2970:0.00322451 
896:0.0646317 3327:0.0470417 737:0.0302752 832:0.00825057 1912:0.00458809 
361:0.0164179 702:0.0139669 745:0.0135326 3327:0.0132086 2910:0.010752 
2507:0.0324036 3327:0.0115825 2408:0.0101753 1152:0.0095563 211:0.0089798 
2818:0.0458502 3327:0.0254155 1215:0.00611959 2507:0.00576125 1786:0.00560599 
3327:0.0212158 284:0.0149669 1335:0.00187629 3125:0.00143705 504:0.00143705 
2447:0.0263963 3327:0.0204542 2507:0.0098995 3096:0.00750232 1912:0.00666872 
3327:0.0203964 2573:0.0124846 2971:0.00164295 704:0.00150412 2966:0.00117244 
3327:0.0379866 1905:0.0372484 2573:0.0244523 1906:0.0224699 33:0.00496579 
3327:0.0153495 2462:0.0144436 2788:0.011024 3098:0.00708299 2069:0.00708227 
3327:0.023024 3041:0.00436529 2069:0.00309888 434:0.00286668 3300:0.00173847 
1568:0.0950287 1567:0.094609 1240:0.0875346 3327:0.0115931 2759:0.00859353 
3327:0.0218586 1250:0.015988 2573:0.00790108 2075:0.00721004 953:0.00106086 
2447:0.00267811 1721:0.00201576 2417:0.00198734 284:0.00154061 3373:0.00136275 
3327:0.0318682 268:0.0203311 1202:0.00782953 3373:0.00552957 2573:0.00551566 
1627:0.0302139 3327:0.0142867 2573:0.00597341 3373:0.00191364 2818:0.00177536 
3327:0.02143 505:0.00294886 2788:0.00276073 2609:0.00254924 2868:0.00123802 
2071:0.0238547 2073:0.00976298 2075:0.00783671 707:0.00574517 3340:0.00497782 
3327:0.0180796 2573:0.00279951 953:0.00106086 1634:0.000882756 58:0.000829031 
3327:0.0179709 1437:0.0138112 2710:0.00295357 2332:0.00217581 2203:0.00165774 
3327:0.0286399 3083:0.0098838 673:0.00745343 1497:0.00607723 1905:0.00553209 
1496:0.00614018 3049:0.00493306 3221:0.00425151 284:0.00362583 2047:0.00350701 
3327:0.0228541 1627:0.0187991 211:0.00336043 2818:0.002105 2315:0.00195028 
3327:0.0259546 2788:0.0237914 2447:0.0191946 2696:0.0118774 650:0.00962092 
3327:0.0454079 2203:0.0426537 2417:0.00323074 284:0.00282959 1627:0.00273966 
3327:0.0200461 2417:0.00599553 1335:0.00366257 2203:0.00206095 657:0.00121927 
2788:0.0296021 3327:0.0223691 2462:0.0217525 2622:0.0156497 2071:0.0155632 
3327:0.00924271 2417:0.00376749 231:0.00191621 2609:0.00181244 640:0.00180017 
3327:0.0165194 1376:0.014994 1594:0.0144881 2303:0.00813961 65:0.0075064 
3327:0.0439705 1584:0.0183218 1268:0.015582 618:0.00895229 1356:0.00818555 
3327:0.0226011 2203:0.00817726 642:0.00562113 1326:0.00299326 2759:0.00297937 
3327:0.0319617 1078:0.0167798 1077:0.0152415 3187:0.0071515 2203:0.00456621 
3327:0.0191201 2361:0.0158831 769:0.0124664 1873:0.00471663 1328:0.00460445 
3327:0.0234672 729:0.00818108 2609:0.00552193 2447:0.00477387 727:0.00451487 
3327:0.0157747 2582:0.014655 1011:0.0068798 2573:0.00588459 3065:0.00456302 
3327:0.021419 290:0.0140958 284:0.0125945 2203:0.00961112 1194:0.00324881 
3327:0.0129354 1445:0.00571253 1807:0.00541459 1786:0.00145423 953:0.00106086 
3327:0.0257325 2071:0.0141975 2945:0.0135199 2933:0.00810202 2075:0.00703944 
3327:0.0249321 2203:0.0063223 2573:0.00357846 3363:0.00122819 718:0.00120199 
649:0.0379335 650:0.0360078 3094:0.0289388 3327:0.0218773 2762:0.0173997 
3327:0.0215774 2609:0.011309 707:0.00755415 2818:0.00693768 1594:0.00645725 
3327:0.0154886 2417:0.0127745 2203:0.00607199 234:0.00433859 2833:0.00269514 
525:0.0480874 526:0.0176198 3116:0.0166469 3327:0.0150771 2447:0.0129877 
1330:0.0466039 2187:0.0372326 1335:0.0317307 2186:0.0292263 2203:0.0272678 
3327:0.045305 3297:0.0121135 1746:0.0101887 1787:0.00363165 3300:0.00266682 
2552:0.0528216 2970:0.0512147 3327:0.0287809 2071:0.023921 2075:0.0191197 
3327:0.021732 3373:0.00800933 1650:0.0075016 2203:0.00738995 1318:0.00532914 
1594:0.0354514 2376:0.0279737 3031:0.0227375 2095:0.0219355 3327:0.0179464 
3327:0.01277 3065:0.0122301 2203:0.0106677 590:0.00411338 284:0.00363886 
3327:0.0189286 3297:0.00141827 2203:0.00140326 953:0.00106086 3300:0.000880198 
3327:0.0360179 387:0.0133203 2933:0.0131299 737:0.0112979 2228:0.00564891 
3327:0.0415687 2203:0.0139129 2417:0.00548281 736:0.00455981 3187:0.00286402 
268:0.0097962 2203:0.00936028 3327:0.00833531 1905:0.00630896 483:0.00625567 
3327:0.0214713 1461:0.00788179 2133:0.00690501 1467:0.00370047 2573:0.00342362 
3327:0.0131896 2573:0.00964543 934:0.00745683 2788:0.00258502 3321:0.00240319 
3327:0.0149291 2609:0.00366665 33:0.00337696 1118:0.00309205 2654:0.00277063 
3327:0.0187669 1335:0.00415754 657:0.00232692 1318:0.0010942 953:0.00106086 
3327:0.0147345 2447:0.0116273 2417:0.00839824 2507:0.00628715 2203:0.0054312 
284:0.0287574 3327:0.0234167 2447:0.0200783 1707:0.00872779 2849:0.00617164 
3327:0.0273633 2572:0.0258544 2417:0.00534261 2133:0.00418782 2047:0.00219844 
3327:0.0210396 2696:0.0204057 2227:0.00131488 2417:0.00126889 290:0.00123946 
3327:0.0176114 650:0.00753203 290:0.00419042 2685:0.0041648 2945:0.00370819 
3327:0.0181461 3170:0.0139493 1391:0.0109826 2573:0.00669461 1011:0.00495719 
3327:0.0457499 1819:0.0283182 268:0.0275311 3168:0.0240215 650:0.0160142 
3327:0.045286 896:0.0380153 1152:0.0126447 1244:0.00819443 2090:0.00789357 
3327:0.020189 284:0.0144555 2417:0.0113219 650:0.0103981 649:0.00663976 
1197:0.0188764 3179:0.0180791 3327:0.00941181 1154:0.00545346 1335:0.00351866 
2071:0.0243477 2075:0.0217839 1905:0.0209002 3327:0.0186546 1958:0.0129611 
2447:0.0128158 3327:0.00942495 361:0.00452132 745:0.00423674 702:0.00357087 
3327:0.0256646 1078:0.00904548 1077:0.00804606 2203:0.00679441 2788:0.00382185 
3327:0.0255171 2462:0.0143959 1767:0.00575479 1781:0.00517519 2714:0.00439121 
1467:0.0473937 1461:0.0397535 3327:0.0242884 1437:0.014216 1504:0.0102692 
3327:0.0153166 1192:0.0149306 2133:0.0113834 1905:0.00897993 704:0.00869584 
3327:0.0351126 1175:0.013091 1391:0.0112129 3216:0.00871427 3083:0.00490438 
